[Fri 11 21 19:47:26 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Wed 11 26 15:15:48 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/social/	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 15:15:49 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/social/	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 15:15:52 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/social/	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 15:15:54 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/social/	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 11 26 15:16:19 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Wed 11 26 15:16:19 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Fri 11 28 11:37:03 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Fri 11 28 11:37:03 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Fri 12 19 16:34:25 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Fri 12 19 16:37:13 2014]	exception:Alert	include@19	/people/	A KurogoException has occured: LDAP PHP extension is not installed
[Fri 12 19 16:37:23 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Fri 12 19 16:37:25 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Fri 12 19 16:37:25 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Wed 12 24 17:25:16 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Wed 12 24 17:25:17 2014]	maps:Warning	MapWebModule->getCurrentFeed@246	/map/	Warning: unable to find feed data for feed 
[Wed 12 24 17:47:21 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Wed 12 24 17:47:23 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg	Forbidden for http://media.news.harvard.edu/gazette/wp-content/uploads/2014/10/101414_CivilDGF_005_140.jpg
[Wed 12 24 17:47:23 2014]	data:Warning	FileLoader::load@74	/fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg	FileLoader failed to load 'http://media.news.harvard.edu/gazette/wp-content/uploads/2014/10/101414_CivilDGF_005_140.jpg'
[Wed 12 24 17:47:23 2014]	security:Warning	Watchdog->_safePath@144	/fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg	WARNING! Blocking attempt from 127.0.0.1 to access unsafe path '/home/fearon/kurogo-mw-1.8.3/Kurogo-Mobile-Web/www'
[Wed 12 24 17:47:23 2014]	kurogo:Warning	_404@113	/fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg	URL /fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg not found
[Sat 12 27 12:57:58 2014]	exception:Alert	ConfigFileStore->saveConfig@150	/rest/admin/setconfigdata	A KurogoConfigurationException has occured: Cannot save config file: /home/fearon/kurogo-mw-1.8.3/sites/Universitas/config/site.ini Check permissions
[Sat 12 27 12:58:13 2014]	exception:Alert	ConfigFileStore->saveConfig@150	/rest/admin/setconfigdata	A KurogoConfigurationException has occured: Cannot save config file: /home/fearon/kurogo-mw-1.8.3/sites/Universitas/config/site.ini Check permissions
[Sat 12 27 13:28:53 2014]	exception:Alert	Module::factory@130	/phpmyadmin/	A KurogoModuleNotFound has occured: Module phpmyadmin not found
[Sat 12 27 13:31:14 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/home/pane?id=social&ajax=1	Gone for https://api.twitter.com/1/statuses/user_timeline.json?screen_name=kurogofwk&trim_user=1
[Sat 12 27 13:31:15 2014]	url_retriever:Warning	URLDataRetriever->retrieveResponse@508	/fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg	Forbidden for http://media.news.harvard.edu/gazette/wp-content/uploads/2014/10/101414_CivilDGF_005_140.jpg
[Sat 12 27 13:31:15 2014]	data:Warning	FileLoader::load@74	/fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg	FileLoader failed to load 'http://media.news.harvard.edu/gazette/wp-content/uploads/2014/10/101414_CivilDGF_005_140.jpg'
[Sat 12 27 13:31:15 2014]	security:Warning	Watchdog->_safePath@144	/fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg	WARNING! Blocking attempt from 127.0.0.1 to access unsafe path '/home/fearon/kurogo-mw-1.8.3/Kurogo-Mobile-Web/www'
[Sat 12 27 13:31:15 2014]	kurogo:Warning	_404@113	/fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg	URL /fileloader/images/d726efb8ecb465dc79428512941b49a9.jpg not found
[Sat 12 27 14:24:02 2014]	exception:Alert	Module::factory@130	/directory/	A KurogoModuleNotFound has occured: Module directory not found
[Sat 12 27 14:26:57 2014]	exception:Alert	Module::factory@130	/directory/	A KurogoModuleNotFound has occured: Module directory not found
[Sat 12 27 14:28:29 2014]	exception:Alert	Module::factory@130	/directory/	A KurogoModuleNotFound has occured: Module directory not found
[Sat 12 27 14:28:41 2014]	exception:Alert	Module::factory@130	/directory/	A KurogoModuleNotFound has occured: Module directory not found
[Sat 12 27 14:28:48 2014]	exception:Alert	Module::factory@130	/directory/index	A KurogoModuleNotFound has occured: Module directory not found
[Sat 12 27 14:28:50 2014]	exception:Alert	Module::factory@130	/directory/index	A KurogoModuleNotFound has occured: Module directory not found
